# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,19940101,   31,   11,   55
  260,19940102,   47,    2,   81
  260,19940103,   62,   37,   89
  260,19940104,   64,   48,   84
  260,19940105,   57,   38,   87
  260,19940106,   64,   40,   81
  260,19940107,   46,   25,   61
  260,19940108,   27,   10,   43
  260,19940109,   20,   -2,   41
  260,19940110,   45,   26,   61
  260,19940111,   52,   30,   64
  260,19940112,   90,   57,  122
  260,19940113,   94,   77,  122
  260,19940114,   72,   53,   82
  260,19940115,   54,   39,   68
  260,19940116,   19,  -25,   51
  260,19940117,   -6,  -43,   41
  260,19940118,   25,   -1,   40
  260,19940119,   25,   -6,   32
  260,19940120,   30,  -20,   59
  260,19940121,   52,   44,   63
  260,19940122,   73,   52,   89
  260,19940123,   77,   43,  104
  260,19940124,   43,   14,   65
  260,19940125,   84,   49,  116
  260,19940126,   60,   41,   73
  260,19940127,   87,   42,  109
  260,19940128,   39,    9,   60
  260,19940129,   43,   21,   83
  260,19940130,   73,   50,   98
  260,19940131,   57,   39,   77
  260,19940201,   53,   37,   72
  260,19940202,   39,  -11,   69
  260,19940203,   24,  -10,   49
  260,19940204,   56,   42,   73
  260,19940205,   43,   23,   58
  260,19940206,   40,   17,   76
  260,19940207,   40,    8,   64
  260,19940208,   43,    2,   86
  260,19940209,   46,    5,   82
  260,19940210,   51,   31,   77
  260,19940211,   24,   -4,   43
  260,19940212,    6,  -12,   30
  260,19940213,  -31,  -73,   -1
  260,19940214,  -44,  -79,  -10
  260,19940215,   -4,  -43,   25
  260,19940216,    6,  -48,   54
  260,19940217,  -20,  -81,   46
  260,19940218,  -16,  -64,   44
  260,19940219,  -24,  -71,   40
  260,19940220,  -47,  -86,   -2
  260,19940221,  -58, -101,  -23
  260,19940222,  -35,  -75,  -13
  260,19940223,   -4,  -23,   23
  260,19940224,   -3,   -9,    7
  260,19940225,    8,  -11,   36
  260,19940226,   68,   16,  113
  260,19940227,   75,   39,  113
  260,19940228,   79,   51,  112
  260,19940301,   67,   51,   82
  260,19940302,   48,   37,   73
  260,19940303,   57,   29,   90
  260,19940304,   61,   19,  101
  260,19940305,   74,   18,  127
  260,19940306,   67,   31,  100
  260,19940307,   93,   71,  121
  260,19940308,   98,   89,  123
  260,19940309,   88,   69,   97
  260,19940310,   65,    8,  102
  260,19940311,   50,  -11,  107
  260,19940312,   63,   39,   96
  260,19940313,   82,   59,  108
  260,19940314,   95,   56,  121
  260,19940315,   68,   47,  102
  260,19940316,   59,   32,   87
  260,19940317,   50,   29,   68
  260,19940318,   58,   31,   89
  260,19940319,   55,   17,   92
  260,19940320,   49,   18,   74
  260,19940321,   39,  -16,   81
  260,19940322,   41,  -23,   86
  260,19940323,  110,   85,  128
  260,19940324,   95,   79,  112
  260,19940325,   87,   50,  108
  260,19940326,   53,    8,   90
  260,19940327,   46,  -15,   88
  260,19940328,   88,   45,  128
  260,19940329,  114,   88,  139
  260,19940330,  135,   77,  189
  260,19940331,  114,   77,  166
  260,19940401,   90,   46,  118
  260,19940402,   53,   14,   91
  260,19940403,   58,   15,   97
  260,19940404,   55,   17,  112
  260,19940405,   38,   15,   70
  260,19940406,   50,   -3,  100
  260,19940407,   50,   -8,   95
  260,19940408,   69,   47,   97
  260,19940409,   44,   -4,   84
  260,19940410,   44,   -7,   93
  260,19940411,   91,   58,  133
  260,19940412,   87,   44,  128
  260,19940413,   79,   52,  110
  260,19940414,   61,   41,   98
  260,19940415,   63,   40,   84
  260,19940416,   79,   32,  133
  260,19940417,   61,   47,   87
  260,19940418,   56,   -3,  105
  260,19940419,   48,  -17,   96
  260,19940420,   70,    3,  145
  260,19940421,   78,   17,  138
  260,19940422,  102,    8,  179
  260,19940423,  146,   67,  226
  260,19940424,  128,   62,  205
  260,19940425,  104,   44,  146
  260,19940426,  110,   56,  143
  260,19940427,  132,  102,  148
  260,19940428,  132,   75,  183
  260,19940429,  143,   65,  215
  260,19940430,  130,   66,  191
  260,19940501,   83,   57,  113
  260,19940502,   89,   13,  144
  260,19940503,  138,   50,  203
  260,19940504,  120,   78,  156
  260,19940505,  109,   76,  146
  260,19940506,  115,   87,  135
  260,19940507,  161,  122,  200
  260,19940508,  116,   83,  167
  260,19940509,   99,   64,  129
  260,19940510,  106,   63,  139
  260,19940511,  146,   67,  214
  260,19940512,  176,  121,  233
  260,19940513,  163,  106,  218
  260,19940514,  168,  112,  243
  260,19940515,  142,   85,  187
  260,19940516,  127,   77,  182
  260,19940517,  128,   95,  170
  260,19940518,  122,   69,  168
  260,19940519,  121,   76,  162
  260,19940520,  126,   70,  186
  260,19940521,  143,  118,  176
  260,19940522,  134,   98,  178
  260,19940523,  121,   78,  156
  260,19940524,  130,   87,  170
  260,19940525,  124,   91,  139
  260,19940526,  113,   84,  154
  260,19940527,  107,   84,  134
  260,19940528,  104,   77,  127
  260,19940529,   88,   41,  138
  260,19940530,   92,   21,  143
  260,19940531,  122,   25,  187
  260,19940601,  176,   54,  246
  260,19940602,  158,  116,  192
  260,19940603,  139,  105,  175
  260,19940604,  109,   95,  142
  260,19940605,  115,   82,  142
  260,19940606,  125,   84,  149
  260,19940607,  135,  111,  149
  260,19940608,  116,   69,  163
  260,19940609,  107,   45,  144
  260,19940610,  115,   80,  149
  260,19940611,  116,   73,  161
  260,19940612,  131,   76,  185
  260,19940613,  136,   58,  191
  260,19940614,  147,   66,  217
  260,19940615,  136,   66,  184
  260,19940616,  126,  114,  151
  260,19940617,  133,  102,  165
  260,19940618,  160,  126,  197
  260,19940619,  160,  127,  184
  260,19940620,  161,  143,  183
  260,19940621,  169,  140,  191
  260,19940622,  162,   92,  196
  260,19940623,  142,   72,  193
  260,19940624,  192,   92,  259
  260,19940625,  194,  144,  247
  260,19940626,  188,  139,  240
  260,19940627,  179,  134,  242
