Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Afghanistan,AFG,38.168041229248
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Albania,ALB,97.5539016723633
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Algeria,DZA,79.6083984375
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,American Samoa,ASM,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Andorra,ADO,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Angola,AGO,71.1641616821289
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Antigua and Barbuda,ATG,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Argentina,ARG,98.089973449707
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Armenia,ARM,99.7684173583984
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Aruba,ABW,97.5242004394531
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Australia,AUS,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Austria,AUT,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Azerbaijan,AZE,99.8052597045898
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,"Bahamas, The",BHS,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Bahrain,BHR,95.7172622680664
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Bangladesh,BGD,61.4938316345215
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Barbados,BRB,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Belarus,BLR,99.722038269043
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Belgium,BEL,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Belize,BLZ,82.7768173217773
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Benin,BEN,38.4471397399902
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Bermuda,BMU,..
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Bhutan,BTN,63.9068183898926
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Bolivia,BOL,95.1419219970703
"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,Bosnia and Herzegovina,BIH,98.4857635498047
