Title;Rating;Genre;Runtime;Actors		
The Filthy Frank Show;10.0;Short, Comedy, Fantasy;12;George Miller, Zeeq, Artemis Holdenberry, Bloody Hairy
Game of Thrones;9.5;Adventure, Drama, Fantasy;56;Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey
Breaking Bad;9.5;Crime, Drama, Thriller;49;Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt
The Wire;9.4;Crime, Drama, Thriller;59;Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce
TVF Pitchers;9.4;Comedy, Drama;40;Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Aditya Roy Ka	poor
Rick and Morty;9.3;Animation, Adventure, Comedy;22;Justin Roiland, Chris Parnell, S	pencer Grammer, Sarah Chalke
Westworld;9.2;Drama, Sci-Fi, Western;60;Evan Rachel Wood, Thandie Newton, Jeffrey Wright, James Marsden
Sherlock;9.2;Crime, Drama, Mystery;88;Benedict Cumberbatch, Martin Freeman, Una Stubbs, Ru	pert Graves
The So	pranos;9.2;Crime, Drama;55;James Gandolfini, Lorraine Bracco, Edie Falco, Michael Im	perioli
Avatar: The Last Airbender;9.2;Animation, Action, Adventure;23;Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena
Leyla ile Mecnun;9.2;Adventure, Comedy, Drama;80;Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant
Sarabhai vs Sarabhai;9.2;Comedy;30;Satish Shah, Ratna Pathak, Sumeet Raghvan, Ru	pali Ganguly
True Detective;9.1;Crime, Drama, Mystery;55;Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch
Firefly;9.1;Adventure, Drama, Sci-Fi;44;Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin
One Punch Man: Wan	panman;9.1;Animation, Action, Comedy;24;Max Mittelman, Makoto Furukawa, Kaito Ishikawa, Zach Aguilar
Last Week Tonight with John Oliver;9.1;Comedy, News, Talk-Show;30;John Oliver, David Kaye, Noel MacNeal, Paul McGinnis
Hagane no renkinjutsushi;9.1;Animation, Action, Adventure;24;Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Pak
TVF Tri	pling;9.1;Drama;30;Sumeet Vyas, Maanvi Gagroo, Amol Parashar, Kunaal Roy Ka	pur
Stranger Things;9.0;Drama, Horror, Mystery;55;Dacre Montgomery, Winona Ryder, David Harbour, Finn Wolfhard
Friends;9.0;Comedy, Romance;22;Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc
House of Cards;9.0;Drama;51;Kevin S	pacey, Michel Gill, Robin Wright, Kate Mara
Fargo;9.0;Crime, Drama, Thriller;53;Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks
Arrested Develo	pment;9.0;Comedy;22;Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett
The Twilight Zone;9.0;Fantasy, Horror, Mystery;51;Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor
Death Note: Desu nto;9.0;Animation, Crime, Drama;24;Mamoru Miyano, Brad Swaile, Vincent Tong, Ry Nait
Batman: The Animated Series;9.0;Animation, Action, Adventure;23;Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings
Kaubi biba	p	pu;9.0;Animation, Action, Adventure;24;Kichi Yamadera, Unsh Ishizuka, Megumi Hayashibara, Steve Blum
Black Mirror;8.9;Drama, Sci-Fi, Thriller;60;Hannah John-Kamen, Chris Martin Hill, Beatrice Robertson-Jones, Paul Blackwell
Narcos;8.9;Biogra	phy, Crime, Drama;49;Wagner Moura, Boyd Holbrook, Pedro Pascal, Paulina Gaitan
Freaks and Geeks;8.9;Comedy, Drama;44;Linda Cardellini, John Francis Daley, James Franco, Samm Levine
Twin Peaks;8.9;Crime, Drama, Mystery;47;Kyle MacLachlan, Michael Ontkean, Mdchen Amick, Dana Ashbrook
Seinfeld;8.9;Comedy;22;Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander
Gravity Falls;8.9;Animation, Adventure, Comedy;23;Jason Ritter, Kristen Schaal, Alex Hirsch, Linda Cardellini
Only Fools and Horses....;8.9;Comedy;95;David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield
Hunter x Hunter;8.9;Animation, Action, Adventure;24;Cristina Valenzuela, Megumi Han, Mariya Ise, Daisuke Namikawa
Monty Python's Flying Circus;8.9;Comedy;30;Graham Cha	pman, John Cleese, Terry Gilliam, Eric Idle
The Return of Sherlock Holmes;8.9;Crime, Drama, Mystery;60;Jeremy Brett, Edward Hardwicke, Rosalie Williams, Colin Jeavons
Pod 	prikritie;8.9;Action, Crime, Drama;60;Vladimir Penev, Zachary Baharov, Lyuben Kanev, Marian Valev
Kardes Payi;8.9;Comedy, Drama, Family;70;Ahmet Kural, Murat Cemcir, Seda Bakan, Ahmet Arslan
This Is Us;8.8;Comedy, Drama;45;Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz
Daredevil;8.8;Action, Adventure, Crime;54;Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson
Doctor Who;8.8;Adventure, Drama, Family;45;Peter Ca	paldi, Jenna Coleman, Matt Smith, David Tennant
Peaky Blinders;8.8;Crime, Drama;60;Cillian Mur	phy, Paul Anderson, Joe Cole, Helen McCrory
The Office;8.8;Comedy;22;Rainn Wilson, John Krasinski, Jenna Fischer, Leslie David Baker
Atlanta;8.8;Comedy, Drama;30;Donald Glover, Brian Tyree Henry, Keith Stanfield, Zazie Beetz
South Park;8.8;Animation, Comedy;22;Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall
House M.D.;8.8;Drama, Mystery;44;Hugh Laurie, Omar E	p	ps, Robert Sean Leonard, Jesse S	pencer
Dexter;8.8;Crime, Drama, Mystery;53;Michael C. Hall, Jennifer Car	penter, David Zayas, James Remar
Better Call Saul;8.8;Crime, Drama;46;Bob Odenkirk, Jonathan Banks, Rhea Seehorn, Michael McKean
The Sim	psons;8.8;Animation, Comedy;22;Dan Castellaneta, Nancy Cartwright, Julie Kavner, Yeardley Smith
